Time (s), Pressure, GCJA5 ug/m3: PM1.0, PM2.5, PM10, ADAFRUIT ug/m3: PM1.0, PM2.5, PM10,
0,-0.44,2.40,2.60,2.93,n,n,n,
1,-0.28,2.24,2.24,2.37,n,n,n,
2,-0.01,1.91,1.91,2.14,n,n,n,
3,0.03,2.21,2.41,2.71,n,n,n,
4,0.03,1.74,1.74,1.96,n,n,n,
5,-0.10,1.46,1.46,1.65,n,n,n,
6,-0.09,1.46,1.46,1.65,n,n,n,
7,-0.21,1.46,1.46,1.65,n,n,n,
8,0.04,1.74,1.74,1.96,n,n,n,
9,0.12,2.05,2.24,2.52,n,n,n,
10,-0.15,1.77,1.97,2.21,n,n,n,
11,-0.37,1.91,1.91,2.14,n,n,n,
12,0.04,1.63,1.63,1.83,n,n,n,
13,-0.16,1.05,1.05,1.18,n,n,n,
14,0.04,1.02,1.02,1.15,n,n,n,
15,-0.32,2.74,2.74,3.08,n,n,n,
16,-0.38,5.61,5.61,6.31,n,n,n,
17,-0.27,10.48,11.27,12.68,n,n,n,
18,-0.01,20.68,24.26,27.29,n,n,n,
19,0.02,24.02,29.00,32.62,n,n,n,
20,0.04,29.94,36.31,40.84,n,n,n,
21,0.08,31.84,39.81,44.78,n,n,n,
22,0.05,39.36,48.72,54.81,n,n,n,
23,0.32,43.73,54.48,61.29,n,n,n,
24,0.11,47.57,59.52,66.95,n,n,n,
25,-0.01,52.11,65.24,73.40,n,n,n,
26,0.08,55.59,69.32,77.99,n,n,n,
27,0.04,59.52,74.04,83.30,n,n,n,
28,-0.12,61.51,76.43,85.99,n,n,n,
29,-0.01,64.60,79.73,89.69,n,n,n,
30,-0.17,66.37,81.70,91.91,n,n,n,
31,-0.04,70.08,85.80,96.52,n,n,n,
32,0.31,73.86,89.79,101.01,n,n,n,
33,0.17,74.06,89.98,101.23,n,n,n,
34,-0.15,67.73,84.25,94.77,n,n,n,
35,-0.07,62.39,77.72,87.43,n,n,n,
36,-0.21,60.18,74.71,84.05,n,n,n,
37,0.19,57.91,71.25,80.15,n,n,n,
38,-0.06,53.60,65.14,73.29,n,n,n,
39,0.03,54.10,65.24,73.40,n,n,n,
40,0.05,48.96,59.11,66.49,n,n,n,
41,-0.07,46.00,54.76,61.60,n,n,n,
42,-0.32,42.43,49.60,55.80,n,n,n,
43,-0.04,40.80,48.17,54.19,n,n,n,
44,-0.06,40.14,47.30,53.22,n,n,n,
45,0.03,36.79,43.16,48.56,n,n,n,
46,-0.17,0.00,42.16,47.43,n,n,n,
47,-0.27,33.56,39.93,44.92,n,n,n,
48,-0.02,32.34,38.11,42.88,n,n,n,
49,-0.10,29.25,34.82,39.17,n,n,n,
50,0.08,24.46,29.64,33.34,n,n,n,
51,0.10,23.88,28.26,31.79,n,n,n,
52,0.01,23.36,27.14,30.53,n,n,n,
53,0.08,22.28,25.66,28.87,n,n,n,
54,-0.38,21.06,24.05,27.05,n,n,n,
