Time (s), Pressure, GCJA5 ug/m3: PM1.0, PM2.5, PM10, ADAFRUIT ug/m3: PM1.0, PM2.5, PM10,
122,0.15,9.98,12.17,13.69,n,n,n,
123,0.01,9.26,11.65,13.10,n,n,n,
124,0.08,9.26,11.45,12.88,n,n,n,
125,0.15,9.54,11.53,12.97,n,n,n,
126,-0.07,8.76,9.96,11.20,n,n,n,
127,0.09,8.29,9.49,10.67,n,n,n,
128,0.01,8.10,9.29,10.45,n,n,n,
129,0.19,7.38,8.57,9.65,n,n,n,
130,0.06,7.55,8.74,9.83,n,n,n,
131,-0.03,7.66,9.05,10.18,n,n,n,
132,-0.10,7.35,8.75,9.84,n,n,n,
133,0.20,7.79,9.19,10.34,n,n,n,
134,0.11,7.91,9.50,10.68,n,n,n,
135,0.12,7.21,8.81,9.91,n,n,n,
136,0.20,7.27,8.66,9.74,n,n,n,
137,0.23,7.38,8.57,9.65,n,n,n,
138,0.16,6.30,7.89,8.88,n,n,n,
139,-0.03,6.44,7.63,8.59,n,n,n,
140,-0.03,6.36,7.55,8.49,n,n,n,
141,0.08,5.61,6.61,7.43,n,n,n,
142,-0.11,5.61,6.80,7.66,n,n,n,
143,0.04,5.17,6.16,6.93,n,n,n,
144,0.16,4.70,5.49,6.18,n,n,n,
145,-0.04,4.84,5.43,6.11,n,n,n,
146,0.12,5.03,5.63,6.33,n,n,n,
147,-0.02,5.20,5.99,6.74,n,n,n,
148,-0.09,5.20,5.99,6.74,n,n,n,
149,-0.04,5.34,6.33,7.12,n,n,n,
150,0.11,5.34,6.13,0.00,n,n,n,
151,0.10,4.28,5.28,5.94,n,n,n,
152,0.07,4.17,5.17,5.81,n,n,n,
153,-0.07,4.17,5.57,6.26,n,n,n,
154,0.15,3.54,4.93,5.55,n,n,n,
155,0.09,3.40,4.39,4.94,n,n,n,
156,0.12,3.10,3.89,4.38,n,n,n,
157,-0.07,2.79,3.59,4.03,n,n,n,
158,0.01,2.46,3.26,3.66,n,n,n,
159,0.06,2.46,3.26,3.66,n,n,n,
160,-0.03,2.63,3.62,4.07,n,n,n,
161,0.06,2.46,3.85,4.33,n,n,n,
162,0.15,2.76,4.75,5.35,n,n,n,
163,0.17,2.16,3.95,4.44,n,n,n,
164,0.07,2.16,3.95,4.44,n,n,n,
165,-0.01,2.02,3.81,4.28,n,n,n,
166,-0.05,2.60,4.39,4.94,n,n,n,
167,0.26,2.32,4.11,4.63,n,n,n,
168,0.15,2.46,4.25,4.78,n,n,n,
169,0.07,2.87,4.47,5.02,n,n,n,
170,-0.13,3.21,4.60,5.17,n,n,n,
171,-0.05,3.51,4.90,5.51,n,n,n,
172,0.02,3.51,4.90,5.51,n,n,n,
173,0.10,3.68,5.27,5.93,n,n,n,
174,-0.02,3.68,5.27,5.93,n,n,n,
175,0.00,3.95,5.54,6.24,n,n,n,
176,-0.01,4.26,5.85,6.58,n,n,n,
177,0.33,4.70,6.29,7.08,n,n,n,
178,0.11,4.84,6.43,7.23,n,n,n,
179,0.13,5.00,5.80,6.52,n,n,n,
180,-0.01,5.14,5.94,6.68,n,n,n,
181,0.18,5.00,5.80,6.52,n,n,n,
182,0.26,4.70,5.30,5.96,n,n,n,
183,0.28,4.98,5.57,6.27,n,n,n,
184,-0.02,4.86,5.66,6.37,n,n,n,
185,0.38,4.53,5.13,5.77,n,n,n,
186,0.17,4.70,5.49,6.18,n,n,n,
187,0.07,4.56,5.55,6.25,n,n,n,
188,0.08,4.42,5.42,6.09,n,n,n,
189,0.28,4.42,5.42,6.09,n,n,n,
190,-0.04,4.42,5.02,5.65,n,n,n,
191,-0.03,4.15,4.54,5.11,n,n,n,
192,0.10,3.84,4.24,4.77,n,n,n,
193,0.03,3.57,3.76,4.23,n,n,n,
194,0.01,3.12,3.32,3.74,n,n,n,
195,0.24,3.12,3.52,3.69,n,n,n,
196,-0.14,2.68,3.28,3.69,n,n,n,
197,0.09,2.10,2.50,2.81,n,n,n,
198,0.17,2.27,2.86,3.22,n,n,n,
199,-0.02,2.13,2.53,2.84,n,n,n,
200,0.09,2.43,3.03,3.41,n,n,n,
201,0.14,2.32,2.52,2.84,n,n,n,
202,-0.06,2.93,3.53,3.97,n,n,n,
203,0.19,2.49,2.89,2.84,n,n,n,
204,0.01,1.99,2.19,2.46,n,n,n,
205,0.03,2.46,2.86,3.21,n,n,n,
206,0.07,2.60,3.00,3.37,n,n,n,
207,-0.02,2.74,3.13,3.52,n,n,n,
208,0.05,2.43,2.83,3.18,n,n,n,
209,0.16,2.71,3.11,3.49,n,n,n,
210,0.04,3.04,3.24,3.64,n,n,n,
211,0.14,3.45,4.05,4.56,n,n,n,
212,0.20,3.29,3.89,4.37,n,n,n,
213,-0.05,3.70,4.10,4.61,n,n,n,
214,0.11,3.87,4.27,4.80,n,n,n,
215,0.12,3.70,4.50,5.06,n,n,n,
216,0.05,3.73,4.73,5.32,n,n,n,
217,0.10,3.57,4.56,5.13,n,n,n,
218,0.17,4.03,5.23,5.88,n,n,n,
219,0.24,4.42,5.62,6.32,n,n,n,
220,0.18,4.39,5.39,6.06,n,n,n,
221,0.06,4.09,5.09,5.72,n,n,n,
222,0.10,4.37,5.36,6.03,n,n,n,
223,0.16,4.92,5.91,6.65,n,n,n,
224,0.33,5.20,6.59,7.41,n,n,n,
225,0.30,5.06,6.45,7.26,n,n,n,
226,0.22,5.36,6.76,7.60,n,n,n,
227,0.29,5.50,6.89,7.75,n,n,n,
228,0.30,4.62,5.81,6.54,n,n,n,
229,-0.00,4.75,5.75,6.47,n,n,n,
230,0.15,5.06,6.05,6.81,n,n,n,
231,0.04,4.34,5.14,5.78,n,n,n,
232,0.25,4.48,5.87,6.60,n,n,n,
233,0.16,4.62,5.61,6.31,n,n,n,
234,0.31,4.56,5.36,6.03,n,n,n,
235,0.11,4.56,5.36,6.03,n,n,n,
236,-0.06,4.28,5.08,5.72,n,n,n,
237,0.07,4.31,5.11,5.75,n,n,n,
238,0.09,4.03,4.83,5.43,n,n,n,
239,0.22,4.20,5.00,5.62,n,n,n,
240,0.10,4.53,5.53,6.22,n,n,n,
241,0.07,3.98,4.78,5.37,n,n,n,
242,0.21,4.56,5.16,5.80,n,n,n,
243,0.01,4.12,4.52,5.08,n,n,n,
244,0.33,3.68,4.07,4.58,n,n,n,
245,-0.09,3.98,4.38,4.92,n,n,n,
246,0.34,4.12,4.32,4.86,n,n,n,
247,-0.06,4.15,4.34,4.89,n,n,n,
248,-0.17,4.45,4.85,5.45,n,n,n,
249,0.08,4.45,5.25,5.90,n,n,n,
250,-0.11,4.15,4.34,4.89,n,n,n,
251,0.07,4.15,4.34,4.89,n,n,n,
252,0.00,4.20,4.80,5.40,n,n,n,
253,0.27,4.20,4.80,5.40,n,n,n,
254,0.11,3.90,4.49,5.05,n,n,n,
255,0.01,3.57,3.76,4.23,n,n,n,
256,0.14,4.03,4.43,4.99,n,n,n,
257,0.11,4.03,4.43,4.99,n,n,n,
258,0.10,4.01,4.41,4.96,n,n,n,
259,0.07,3.54,3.94,4.43,n,n,n,
260,0.13,3.15,3.55,3.95,n,n,n,
261,0.35,3.32,3.52,3.95,n,n,n,
262,0.02,3.48,3.68,4.14,n,n,n,
263,-0.01,3.62,4.02,4.52,n,n,n,
264,0.26,3.76,4.36,4.90,n,n,n,
265,-0.03,3.76,4.55,5.12,n,n,n,
266,0.06,3.62,4.42,4.97,n,n,n,
267,0.30,3.76,4.16,4.68,n,n,n,
268,0.09,3.79,4.18,5.78,n,n,n,
269,0.23,4.59,5.38,6.06,n,n,n,
270,0.06,4.59,5.19,5.83,n,n,n,
271,0.08,4.59,5.38,6.06,n,n,n,
272,0.02,4.45,5.05,5.68,n,n,n,
273,0.20,4.48,5.07,5.71,n,n,n,
274,0.02,4.15,4.74,5.33,n,n,n,
275,0.06,4.15,4.94,5.56,n,n,n,
276,0.06,3.57,4.36,5.28,n,n,n,
277,0.19,4.15,5.34,6.01,n,n,n,
278,0.11,4.15,5.34,6.01,n,n,n,
279,0.04,4.39,5.59,6.29,n,n,n,
280,-0.01,4.84,6.03,6.78,n,n,n,
281,0.07,4.56,5.55,6.25,n,n,n,
282,0.09,4.98,5.97,6.72,n,n,n,
283,0.19,5.14,6.14,6.90,n,n,n,
284,0.06,4.98,6.17,6.94,n,n,n,
285,0.09,4.81,5.80,6.53,n,n,n,
286,0.19,4.42,5.02,5.65,n,n,n,
287,0.05,4.59,5.38,6.06,n,n,n,
288,0.08,4.42,5.22,5.87,n,n,n,
