Time (s), Pressure, GCJA5 ug/m3: PM1.0, PM2.5, PM10, ADAFRUIT ug/m3: PM1.0, PM2.5, PM10,
0,0.37,1.88,2.48,2.79,n,n,n,
1,0.17,2.16,2.75,3.10,n,n,n,
2,0.22,1.88,2.48,2.79,n,n,n,
3,0.27,2.05,2.44,2.21,n,n,n,
4,-0.06,1.77,1.97,2.21,n,n,n,
5,0.21,1.19,1.19,1.34,n,n,n,
6,-0.20,1.33,1.33,1.49,n,n,n,
7,0.44,1.33,1.33,1.49,n,n,n,
8,0.02,1.33,1.33,1.49,n,n,n,
9,0.15,0.88,0.88,0.99,n,n,n,
10,0.25,0.88,0.88,0.99,n,n,n,
11,-0.03,0.58,0.58,0.65,n,n,n,
12,0.18,0.61,0.81,0.91,n,n,n,
13,0.42,1.05,1.25,1.40,n,n,n,
14,-0.08,0.91,1.11,1.25,n,n,n,
15,0.09,0.91,1.11,1.25,n,n,n,
16,0.24,1.08,1.28,1.43,n,n,n,
17,0.27,0.91,1.11,1.25,n,n,n,
18,-0.31,1.05,1.45,1.63,n,n,n,
19,0.09,0.88,1.08,1.22,n,n,n,
20,0.37,1.35,1.75,1.97,n,n,n,
21,0.38,1.52,1.92,2.16,n,n,n,
22,-0.05,1.52,1.92,2.16,n,n,n,
23,-0.14,1.49,1.69,1.90,n,n,n,
24,0.28,1.35,1.55,1.75,n,n,n,
25,0.30,1.66,2.06,2.31,n,n,n,
26,0.53,2.35,2.55,2.87,n,n,n,
27,-0.13,2.21,2.21,2.49,n,n,n,
28,-0.20,2.21,2.21,2.49,n,n,n,
29,0.11,2.52,2.71,3.05,n,n,n,
30,0.19,2.79,2.99,3.36,n,n,n,
31,0.07,2.52,2.71,3.05,n,n,n,
32,0.21,2.35,2.35,2.64,n,n,n,
33,0.36,2.35,2.35,2.64,n,n,n,
34,0.10,2.18,2.18,2.46,n,n,n,
35,0.07,2.18,2.18,2.46,n,n,n,
36,0.58,2.07,2.07,2.33,n,n,n,
37,-10.70,2.07,2.07,2.33,n,n,n,
38,-14.49,2.07,2.07,2.33,n,n,n,
39,-14.68,1.60,1.60,1.80,n,n,n,
40,-15.01,1.60,1.60,1.80,n,n,n,
