Time (s), Pressure, GCJA5 ug/m3: PM1.0, PM2.5, PM10, ADAFRUIT ug/m3: PM1.0, PM2.5, PM10,
0,-0.33,1.13,1.13,1.27,n,n,n,
1,0.43,0.99,0.99,1.12,n,n,n,
2,0.39,1.16,1.16,1.30,n,n,n,
3,0.35,0.99,0.99,1.12,n,n,n,
4,0.41,1.02,1.02,1.15,n,n,n,
5,0.41,1.02,1.02,1.15,n,n,n,
6,0.31,1.02,1.02,1.15,n,n,n,
7,-0.07,1.19,1.19,1.34,n,n,n,
8,0.09,1.19,1.19,1.34,n,n,n,
9,0.19,1.49,1.49,1.68,n,n,n,
10,0.42,1.33,1.52,1.72,n,n,n,
11,0.39,1.19,1.39,1.56,n,n,n,
12,1.04,1.02,1.02,1.15,n,n,n,
13,1.64,1.02,1.02,1.15,n,n,n,
14,1.78,0.72,0.72,0.81,n,n,n,
15,1.59,0.72,0.72,0.81,n,n,n,
16,1.83,0.58,0.58,0.65,n,n,n,
17,1.76,0.47,0.47,0.53,n,n,n,
18,1.93,0.61,0.61,0.68,n,n,n,
19,1.92,0.44,0.44,0.50,n,n,n,
20,2.04,0.44,0.44,0.50,n,n,n,
21,1.50,0.44,0.44,0.50,n,n,n,
22,1.80,0.75,0.75,0.84,n,n,n,
23,1.93,26.62,35.58,56.47,n,n,n,
24,1.78,54.21,77.89,111.84,n,n,n,
25,1.82,86.25,123.66,164.15,n,n,n,
26,1.82,116.93,166.69,207.17,n,n,n,
27,1.99,177.00,240.89,281.37,n,n,n,
28,1.86,200.33,268.00,308.48,n,n,n,
29,1.60,222.97,292.63,329.21,n,n,n,
30,1.84,251.61,324.86,365.46,n,n,n,
31,1.83,269.69,344.73,387.82,n,n,n,
32,1.87,292.39,371.20,417.60,n,n,n,
33,1.47,300.65,379.86,428.18,n,n,n,
34,1.85,312.68,391.69,440.65,n,n,n,
35,1.64,328.60,409.01,460.13,n,n,n,
36,1.73,338.80,420.40,472.95,n,n,n,
37,1.73,342.50,424.30,477.34,n,n,n,
38,1.58,343.67,425.07,478.20,n,n,n,
39,1.55,346.24,427.64,481.10,n,n,n,
40,1.85,347.65,428.85,482.46,n,n,n,
41,1.69,315.50,388.54,437.11,n,n,n,
42,1.91,278.01,336.53,378.59,n,n,n,
43,1.66,209.37,243.21,273.61,n,n,n,
44,1.71,179.77,206.63,232.46,n,n,n,
45,1.59,155.00,175.30,197.21,n,n,n,
46,1.72,132.66,148.78,167.38,n,n,n,
47,1.35,112.51,126.04,141.80,n,n,n,
48,1.74,92.58,103.72,116.69,n,n,n,
49,1.76,80.41,90.17,105.84,n,n,n,
50,1.72,67.56,74.13,89.80,n,n,n,
51,1.75,48.96,53.73,61.57,n,n,n,
52,1.75,44.26,49.23,55.39,n,n,n,
53,1.85,39.75,44.13,49.65,n,n,n,
54,1.75,37.29,41.67,46.88,n,n,n,
55,1.74,33.56,37.94,42.68,n,n,n,
56,1.69,31.93,36.50,41.07,n,n,n,
57,1.94,29.02,33.40,37.58,n,n,n,
58,1.76,28.25,32.43,36.48,n,n,n,
